"id_processo","data_criacao","dias_para_deferimento","status_analise","estado","concessionaria","valor_estimado","num_movimentacoes","num_anexos","passou_analise","tipo_irregularidade"
17975,"2024-07-03 13:09:31",30,Desconhecido,"3005482482",CEMIG,5000.00,34,0,0,COMPENSAÇÃO
18177,"2024-07-02 11:29:38",170,Desconhecido,"3005455979",CEMIG,3000.00,29,0,0,COMPENSAÇÃO
18167,"2024-07-02 11:19:07",30,Desconhecido,"3005404202",CEMIG,6000.00,64,0,0,FATURAMENTO
17965,"2024-07-01 13:50:23",165,Desconhecido,"3004604518",CEMIG,30000.00,26,0,0,CONSUMO
17963,"2024-07-01 13:33:04",30,Desconhecido,"3004471130",CEMIG,6000.00,37,0,0,COMPENSAÇÃO
17934,"2024-06-11 15:38:04",399,Desconhecido,"35528559",CPFL PAULISTA,40000.00,12,0,0,CONSUMO
17933,"2024-06-11 15:07:34",560,Desconhecido,"27845281",CPFL PAULISTA,15000.00,25,2,0,COMPENSAÇÃO
17931,"2024-06-10 14:01:40",598,Desconhecido,"37387464",CPFL PAULISTA,4000.00,19,0,0,COMPENSAÇÃO
17928,"2024-06-07 16:58:34",273,Desconhecido,"104472278",COPEL,4000.00,29,0,0,COMPENSAÇÃO
17926,"2024-06-07 16:48:11",273,Desconhecido,"103901272",COPEL,3000.00,30,0,0,COMPENSAÇÃO
17925,"2024-06-07 15:37:31",273,Desconhecido,"93827580",COPEL,5000.00,35,0,0,COMPENSAÇÃO
17923,"2024-06-06 15:33:03",274,Desconhecido,"101460449",COPEL,40000.00,28,0,0,COMPENSAÇÃO
17921,"2024-06-06 15:04:09",274,Desconhecido,"99984105",COPEL,8000.00,24,0,0,COMPENSAÇÃO
17920,"2024-06-06 15:00:36",274,Desconhecido,"99376989",COPEL,5000.00,21,0,0,COMPENSAÇÃO
17919,"2024-06-06 14:55:36",274,Desconhecido,"99085992",COPEL,2000.00,29,0,0,COMPENSAÇÃO
17918,"2024-06-06 14:36:30",274,Desconhecido,"98377442",COPEL,5500.00,35,0,0,COMPENSAÇÃO
17916,"2024-06-06 08:42:20",274,Desconhecido,"95760555",COPEL,2000.00,36,0,0,COMPENSAÇÃO
17914,"2024-06-06 08:24:01",274,Desconhecido,"95328173",COPEL,5000.00,26,0,0,COMPENSAÇÃO
17913,"2024-06-06 08:17:09",274,Desconhecido,"95314873",COPEL,11000.00,29,0,0,COMPENSAÇÃO
17912,"2024-06-06 08:15:02",274,Desconhecido,"95247513",COPEL,2500.00,29,0,0,COMPENSAÇÃO
17911,"2024-06-06 08:08:51",274,Desconhecido,"95178813",COPEL,4000.00,29,0,0,COMPENSAÇÃO
17910,"2024-06-06 08:07:52",274,Desconhecido,"95178694",COPEL,4000.00,25,0,0,COMPENSAÇÃO
17909,"2024-06-04 17:03:43",276,Desconhecido,"95116559",COPEL,20000.00,24,0,0,COMPENSAÇÃO
17908,"2024-06-04 16:34:16",276,Desconhecido,"94538581",COPEL,2000.00,20,0,0,COMPENSAÇÃO
17907,"2024-06-04 16:29:01",276,Desconhecido,"93968264",COPEL,3000.00,30,0,0,COMPENSAÇÃO
17906,"2024-06-04 16:23:12",276,Desconhecido,"93911432",COPEL,7000.00,31,0,0,COMPENSAÇÃO
17904,"2024-06-04 16:13:47",276,Desconhecido,"93659652",COPEL,2000.00,22,0,0,COMPENSAÇÃO
17903,"2024-06-04 16:12:26",276,Desconhecido,"93656882",COPEL,2000.00,31,0,0,COMPENSAÇÃO
17902,"2024-06-04 16:10:42",276,Desconhecido,"93617666",COPEL,4000.00,27,0,0,COMPENSAÇÃO
17901,"2024-06-03 17:08:31",277,Desconhecido,"93562101",COPEL,5000.00,22,0,0,COMPENSAÇÃO
17900,"2024-06-03 16:45:41",277,Desconhecido,"91919711",COPEL,6000.00,32,0,0,COMPENSAÇÃO
17899,"2024-06-03 16:41:24",277,Desconhecido,"91820588",COPEL,22000.00,36,0,0,COMPENSAÇÃO
17898,"2024-06-03 16:39:44",277,Desconhecido,"91769183",COPEL,5000.00,22,0,0,COMPENSAÇÃO
17896,"2024-06-03 16:34:04",277,Desconhecido,"91677033",COPEL,4000.00,33,0,0,COMPENSAÇÃO
17895,"2024-06-03 16:32:57",277,Desconhecido,"91669065",COPEL,4000.00,23,0,0,COMPENSAÇÃO
17894,"2024-06-03 16:21:14",277,Desconhecido,"90763718",COPEL,3000.00,49,0,0,COMPENSAÇÃO
17893,"2024-06-03 16:19:30",277,Desconhecido,"90717309",COPEL,3000.00,27,0,0,COMPENSAÇÃO
17892,"2024-06-03 16:10:58",277,Desconhecido,"90570910",COPEL,8000.00,27,0,0,COMPENSAÇÃO
17890,"2024-06-03 15:03:33",277,Desconhecido,"90569563",COPEL,4000.00,23,0,0,COMPENSAÇÃO
17889,"2024-06-03 14:59:11",277,Desconhecido,"90569504",COPEL,6000.00,23,0,0,COMPENSAÇÃO
17887,"2024-06-03 14:52:34",277,Desconhecido,"90506065",COPEL,10000.00,27,0,0,COMPENSAÇÃO
17886,"2024-06-03 14:48:09",277,Desconhecido,"90435613",COPEL,4000.00,22,0,0,COMPENSAÇÃO
17885,"2024-06-03 14:43:34",277,Desconhecido,"90103491",COPEL,5000.00,27,0,0,COMPENSAÇÃO
17884,"2024-06-03 14:17:11",277,Desconhecido,"87952700",COPEL,4000.00,23,0,0,COMPENSAÇÃO
17882,"2024-06-03 13:53:41",277,Desconhecido,"85404454",COPEL,2500.00,26,0,0,COMPENSAÇÃO
17881,"2024-06-03 13:49:33",277,Desconhecido,"82217831",COPEL,9000.00,23,0,0,COMPENSAÇÃO
17879,"2024-06-03 13:44:37",277,Desconhecido,"78618550",COPEL,5000.00,22,0,0,COMPENSAÇÃO
17878,"2024-06-03 11:54:01",277,Desconhecido,"73682381",COPEL,5000.00,32,0,0,COMPENSAÇÃO
17877,"2024-06-03 11:43:44",277,Desconhecido,"72351187",COPEL,18000.00,33,0,0,COMPENSAÇÃO
17876,"2024-06-03 11:41:28",277,Desconhecido,"72351080",COPEL,15000.00,33,0,0,COMPENSAÇÃO
17875,"2024-06-03 11:38:54",277,Desconhecido,"72111879",COPEL,7000.00,28,0,0,COMPENSAÇÃO
17874,"2024-06-03 11:35:05",277,Desconhecido,"70519994",COPEL,7000.00,22,0,0,COMPENSAÇÃO
17873,"2024-06-03 11:24:58",277,Desconhecido,"64318672",COPEL,3000.00,35,0,0,COMPENSAÇÃO
17872,"2024-06-03 11:14:43",277,Desconhecido,"64034020",COPEL,4000.00,22,0,0,COMPENSAÇÃO
17823,"2024-05-08 16:59:50",71,Desconhecido,"3019760609",EQUATORIAL PA,40000.00,35,0,0,CONSUMO
17814,"2024-04-29 13:52:28",674,Desconhecido,"3000245306",CEMIG,30000.00,16,1,0,CONSUMO
17810,"2024-04-22 15:45:53",30,Desconhecido,"44862034",CELESC,15000.00,15,1,0,COMPENSAÇÃO
17793,"2024-04-19 13:55:28",525,Desconhecido,"48269893",CELESC,10000.00,19,0,0,COMPENSAÇÃO
17764,"2024-04-19 13:19:28",657,Desconhecido,"47103762",CELESC,3000.00,14,0,0,COMPENSAÇÃO
17755,"2024-04-19 12:05:12",661,Desconhecido,"47176913",CELESC,7000.00,20,3,0,COMPENSAÇÃO
17750,"2024-04-19 11:53:43",418,Desconhecido,"47177235",CELESC,3000.00,9,0,0,COMPENSAÇÃO
17749,"2024-04-19 11:51:07",454,Desconhecido,"47815347",CELESC,10000.00,12,0,0,COMPENSAÇÃO
17748,"2024-04-19 11:49:59",418,Desconhecido,"47815460",CELESC,8000.00,9,0,0,COMPENSAÇÃO
17747,"2024-04-19 11:48:49",418,Desconhecido,"47818478",CELESC,12000.00,10,0,0,COMPENSAÇÃO
17746,"2024-04-19 11:47:32",418,Desconhecido,"47820154",CELESC,6000.00,9,0,0,COMPENSAÇÃO
17745,"2024-04-19 11:46:33",440,Desconhecido,"47818648",CELESC,20000.00,10,0,0,COMPENSAÇÃO
17744,"2024-04-19 11:45:10",392,Desconhecido,"47819946",CELESC,3000.00,10,0,0,COMPENSAÇÃO
17743,"2024-04-19 11:33:15",404,Desconhecido,"46030427",CELESC,3000.00,10,0,0,COMPENSAÇÃO
17742,"2024-04-19 11:31:46",402,Desconhecido,"47822955",CELESC,10000.00,15,0,0,COMPENSAÇÃO
17741,"2024-04-19 11:30:44",412,Desconhecido,"48043836",CELESC,22000.00,12,0,0,COMPENSAÇÃO
17740,"2024-04-19 11:28:09",472,Desconhecido,"48223265",CELESC,5000.00,12,0,0,COMPENSAÇÃO
17739,"2024-04-19 11:25:57",402,Desconhecido,"48043844",CELESC,6000.00,12,0,0,COMPENSAÇÃO
17737,"2024-04-19 11:17:41",440,Desconhecido,"48357547",CELESC,12000.00,14,0,0,COMPENSAÇÃO
17736,"2024-04-19 11:15:54",406,Desconhecido,"48223290",CELESC,10000.00,11,0,0,COMPENSAÇÃO
17733,"2024-04-19 11:03:17",445,Desconhecido,"48513590",CELESC,6000.00,11,0,0,COMPENSAÇÃO
17732,"2024-04-19 11:02:07",609,Desconhecido,"48548857",CELESC,2000.00,12,1,0,COMPENSAÇÃO
17728,"2024-04-19 10:56:44",363,Desconhecido,"44973723",CELESC,20000.00,14,0,0,COMPENSAÇÃO
17727,"2024-04-19 10:55:18",412,Desconhecido,"44906910",CELESC,5000.00,9,0,0,COMPENSAÇÃO
17725,"2024-04-19 10:52:44",417,Desconhecido,"44834251",CELESC,11000.00,9,0,0,COMPENSAÇÃO
17717,"2024-04-19 10:22:58",266,Desconhecido,"61726257",ENEL SP,9000.00,29,1,0,COMPENSAÇÃO
17709,"2024-04-18 14:18:35",638,Desconhecido,"3007630078",CEMIG,70000.00,17,2,0,COMPENSAÇÃO
17707,"2024-04-18 14:13:06",608,Desconhecido,"3007706358",CEMIG,20000.00,18,2,0,COMPENSAÇÃO
17706,"2024-04-18 14:11:35",614,Desconhecido,"3010050846",CEMIG,4000.00,25,1,0,COMPENSAÇÃO
17705,"2024-04-18 14:09:33",648,Desconhecido,"3010123672",CEMIG,6000.00,22,1,0,COMPENSAÇÃO
17703,"2024-04-18 14:05:38",634,Desconhecido,"3010132611",CEMIG,30000.00,22,2,0,COMPENSAÇÃO
17702,"2024-04-18 14:01:59",259,Desconhecido,"3010138125",CEMIG,50000.00,21,1,0,COMPENSAÇÃO
17701,"2024-04-18 14:00:33",636,Desconhecido,"3010138184",CEMIG,55000.00,21,2,0,COMPENSAÇÃO
17699,"2024-04-18 13:57:43",280,Desconhecido,"3010228176",CEMIG,100000.00,45,0,0,COMPENSAÇÃO
17698,"2024-04-18 13:55:30",614,Desconhecido,"3010230407",CEMIG,30000.00,16,0,0,COMPENSAÇÃO
17690,"2024-04-18 13:38:32",30,Desconhecido,"3011640174",CEMIG,8000.00,19,1,0,COMPENSAÇÃO
17689,"2024-04-18 13:37:25",649,Desconhecido,"3011766042",CEMIG,12000.00,23,0,0,COMPENSAÇÃO
17687,"2024-04-18 13:35:09",268,Desconhecido,"3011912795",CEMIG,40000.00,50,0,0,COMPENSAÇÃO
17686,"2024-04-18 13:34:13",673,Desconhecido,"3005707990",CEMIG,20000.00,15,1,0,COMPENSAÇÃO
17680,"2024-04-18 13:21:37",280,Desconhecido,"3011913707",CEMIG,2000.00,28,0,0,LEITURA
17678,"2024-04-18 13:18:09",663,Desconhecido,"3011982659",CEMIG,5000.00,20,2,0,COMPENSAÇÃO
17676,"2024-04-18 13:15:14",425,Desconhecido,"3012056990",CEMIG,30000.00,27,2,0,COMPENSAÇÃO
17675,"2024-04-18 13:13:20",665,Desconhecido,"3012068635",CEMIG,10000.00,20,3,0,COMPENSAÇÃO
17674,"2024-04-18 13:12:02",642,Desconhecido,"3012068903",CEMIG,3000.00,16,1,0,COMPENSAÇÃO
17673,"2024-04-18 13:09:57",642,Desconhecido,"3012069366",CEMIG,5000.00,32,1,0,COMPENSAÇÃO
17671,"2024-04-18 13:04:48",421,Desconhecido,"3012078020",CEMIG,3000.00,14,0,0,COMPENSAÇÃO
17668,"2024-04-18 12:59:37",272,Desconhecido,"3012090584",CEMIG,5000.00,12,0,0,COMPENSAÇÃO
17664,"2024-04-18 12:45:56",526,Desconhecido,"44406756",CELESC,300000.00,20,0,0,COMPENSAÇÃO
17556,"2024-04-17 14:52:34",691,Desconhecido,"42690538",CELESC,20000.00,13,0,0,COMPENSAÇÃO
17545,"2024-04-17 14:39:05",412,Desconhecido,"16530110",EQUATORIAL PI,0.00,65,0,0,SCEE
17538,"2024-04-17 14:23:04",588,Desconhecido,"22797882",AMAZONAS,70000.00,7,0,0,LEITURA
17536,"2024-04-17 14:20:30",245,Desconhecido,"22460632",AMAZONAS,40000.00,18,1,0,COMPENSAÇÃO
17531,"2024-04-17 14:13:48",30,Desconhecido,"21600635",AMAZONAS,30000.00,15,1,0,COMPENSAÇÃO
17515,"2024-04-17 13:48:06",245,Desconhecido,"6408052",AMAZONAS,100000.00,21,1,0,LEITURA
17511,"2024-04-17 08:47:28",-318,Desconhecido,"917133",EQUATORIAL PI,0.00,52,0,0,COMPENSAÇÃO
17492,"2024-03-22 00:00:00",30,Desconhecido,"4996463",NEOENERGIA BA (COELBA),320.00,89,0,0,LEITURA
