"id_processo","num_movimentacoes_etapa","dias_em_processamento","sla_dias_target","tempo_medio_geral","prioridade","dias_totais"
18232,5,30,30,47.0000,Ativos,30
18230,7,30,30,47.0000,Ativos,30
18231,7,30,30,47.0000,Ativos,30
18228,11,30,20,47.0000,Ativos,30
18229,8,30,10,47.0000,Ativos,30
17667,14,111,10,47.0000,Deferidos,111
18226,9,30,15,47.0000,Ativos,30
18225,11,30,10,47.0000,Ativos,30
18224,8,30,15,47.0000,Ativos,30
18223,12,30,10,47.0000,Ativos,30
17665,7,30,20,47.0000,Ativos,30
18222,5,30,30,47.0000,Ativos,30
18220,7,30,15,47.0000,Ativos,30
18218,6,30,10,47.0000,Ativos,30
18219,10,30,15,47.0000,Ativos,30
18217,6,30,10,47.0000,Ativos,30
18216,6,30,30,47.0000,Ativos,30
18213,5,30,30,47.0000,Ativos,30
18214,5,30,30,47.0000,Ativos,30
18215,17,30,10,47.0000,Ativos,30
18212,8,30,10,47.0000,Ativos,30
18211,5,30,30,47.0000,Ativos,30
18210,7,30,30,47.0000,Concluídos,30
18209,9,30,30,47.0000,Ativos,30
18208,12,30,20,47.0000,Ativos,30
18207,5,30,30,47.0000,Ativos,30
18206,5,30,30,47.0000,Ativos,30
18205,11,30,10,47.0000,Ativos,30
18204,5,30,10,47.0000,Ativos,30
18203,5,30,30,47.0000,Ativos,30
18202,9,30,10,47.0000,Ativos,30
18201,5,30,10,47.0000,Ativos,30
18200,6,30,30,47.0000,Ativos,30
18199,5,30,30,47.0000,Ativos,30
17256,7,30,30,47.0000,Concluídos,30
18197,5,30,10,47.0000,Ativos,30
16366,12,30,15,47.0000,Ativos,30
18195,8,30,10,47.0000,Ativos,30
18194,15,30,10,47.0000,Ativos,30
18193,9,30,10,47.0000,Ativos,30
18192,5,30,30,47.0000,Ativos,30
18191,8,30,30,47.0000,Suspensos,30
18190,11,30,10,47.0000,Ativos,30
18189,6,30,15,47.0000,Ativos,30
18188,8,30,30,47.0000,Ativos,30
18187,18,150,30,47.0000,Deferidos,150
18186,13,30,10,47.0000,Ativos,30
18185,13,257,10,47.0000,Deferidos,257
18184,9,30,10,47.0000,Ativos,30
18183,5,30,30,47.0000,Ativos,30
18182,17,244,10,47.0000,Deferidos,244
18181,8,30,10,47.0000,Suspensos,30
18180,5,30,10,47.0000,Ativos,30
18239,7,30,30,47.0000,Ativos,30
18178,10,30,30,47.0000,Ativos,30
17980,9,30,30,47.0000,Ativos,30
18176,12,30,10,47.0000,Ativos,30
18175,5,30,30,47.0000,Ativos,30
18174,5,30,30,47.0000,Ativos,30
18173,9,30,10,47.0000,Ativos,30
18172,10,30,10,47.0000,Ativos,30
18171,7,30,10,47.0000,Ativos,30
18170,40,46,30,47.0000,Concluídos,46
18020,14,30,15,47.0000,Ativos,30
18157,15,30,30,47.0000,Ativos,30
18158,14,30,30,47.0000,Ativos,30
18159,15,30,10,47.0000,Ativos,30
18160,11,30,30,47.0000,Ativos,30
18161,12,30,10,47.0000,Ativos,30
18162,12,30,10,47.0000,Suspensos,30
18163,12,30,10,47.0000,Suspensos,30
18164,14,30,10,47.0000,Ativos,30
18165,11,30,10,47.0000,Ativos,30
18166,12,30,10,47.0000,Ativos,30
18168,13,30,30,47.0000,Ativos,30
18169,17,30,30,47.0000,Ativos,30
18296,10,30,10,47.0000,Ativos,30
18152,10,30,15,47.0000,Ativos,30
18153,10,30,15,47.0000,Ativos,30
18154,9,30,15,47.0000,Ativos,30
18155,9,30,15,47.0000,Ativos,30
18156,9,30,15,47.0000,Ativos,30
18295,12,30,10,47.0000,Ativos,30
18151,55,112,30,47.0000,Concluídos,112
18150,12,30,15,47.0000,Ativos,30
18149,14,30,10,47.0000,Suspensos,30
17972,14,30,15,47.0000,Ativos,30
18007,17,30,15,47.0000,Ativos,30
18013,17,30,15,47.0000,Ativos,30
18148,15,30,30,47.0000,Ativos,30
18144,5,30,30,47.0000,Ativos,30
17970,5,30,10,47.0000,Ativos,30
18142,43,15,30,47.0000,Fluxo de Ressarcimento,15
18129,12,30,10,47.0000,Ativos,30
18130,13,30,10,47.0000,Ativos,30
18131,11,30,10,47.0000,Ativos,30
18132,11,30,10,47.0000,Ativos,30
18133,11,30,10,47.0000,Ativos,30
18134,11,30,10,47.0000,Ativos,30
18135,11,30,10,47.0000,Ativos,30
18136,11,30,10,47.0000,Ativos,30
18137,11,30,10,47.0000,Ativos,30
18138,10,30,10,47.0000,Ativos,30
18139,11,30,10,47.0000,Ativos,30
18140,11,30,10,47.0000,Ativos,30
18141,11,30,10,47.0000,Ativos,30
18128,8,30,10,47.0000,Suspensos,30
18127,15,30,15,47.0000,Ativos,30
18126,6,30,30,47.0000,Ativos,30
18125,12,30,15,47.0000,Ativos,30
18124,10,30,10,47.0000,Ativos,30
18123,5,30,10,47.0000,Suspensos,30
18122,7,30,10,47.0000,Ativos,30
18121,6,30,30,47.0000,Concluídos,30
18120,20,25,30,47.0000,Concluídos,25
18119,13,30,10,47.0000,Suspensos,30
18118,34,30,30,47.0000,Ativos,30
18117,9,30,20,47.0000,Ativos,30
18116,9,30,15,47.0000,Ativos,30
18115,9,30,15,47.0000,Ativos,30
18114,10,30,15,47.0000,Ativos,30
18113,5,30,10,47.0000,Suspensos,30
18112,5,30,30,47.0000,Ativos,30
18111,37,211,30,47.0000,Fluxo de Ressarcimento,211
18110,23,30,20,47.0000,Ativos,30
18109,27,22,30,47.0000,Concluídos,22
18108,6,30,30,47.0000,Ativos,30
18107,9,30,30,47.0000,Ativos,30
18106,17,30,30,47.0000,Ativos,30
18098,10,30,30,47.0000,Ativos,30
18099,11,30,30,47.0000,Ativos,30
18100,10,30,30,47.0000,Ativos,30
18101,10,30,30,47.0000,Ativos,30
18102,11,30,30,47.0000,Ativos,30
18103,11,30,30,47.0000,Ativos,30
18104,11,30,30,47.0000,Ativos,30
18105,15,30,30,47.0000,Ativos,30
18094,16,30,30,47.0000,Ativos,30
18095,16,30,30,47.0000,Ativos,30
18096,11,30,30,47.0000,Ativos,30
18097,11,30,30,47.0000,Ativos,30
18093,26,30,10,47.0000,Ativos,30
18092,11,30,10,47.0000,Suspensos,30
18091,31,30,30,47.0000,Ativos,30
18090,10,30,10,47.0000,Suspensos,30
18089,26,30,30,47.0000,Ativos,30
18088,30,30,30,47.0000,Fluxo de Ressarcimento,30
18087,10,30,10,47.0000,Ativos,30
18086,7,30,10,47.0000,Suspensos,30
18085,32,125,30,47.0000,Fluxo de Ressarcimento,125
18084,7,30,10,47.0000,Suspensos,30
18083,12,30,10,47.0000,Suspensos,30
18082,7,30,10,47.0000,Suspensos,30
18081,7,30,10,47.0000,Suspensos,30
18080,7,30,10,47.0000,Suspensos,30
18079,10,30,10,47.0000,Suspensos,30
18078,9,30,15,47.0000,Ativos,30
18077,7,30,30,47.0000,Ativos,30
18076,9,30,10,47.0000,Ativos,30
18075,10,30,10,47.0000,Ativos,30
18074,8,30,10,47.0000,Ativos,30
18073,12,30,10,47.0000,Ativos,30
18072,8,30,10,47.0000,Ativos,30
18071,7,30,10,47.0000,Ativos,30
18070,12,30,10,47.0000,Ativos,30
18069,10,30,10,47.0000,Ativos,30
18068,13,30,10,47.0000,Ativos,30
18067,12,30,10,47.0000,Ativos,30
18066,8,30,10,47.0000,Ativos,30
16890,15,30,10,47.0000,Ativos,30
18064,13,30,10,47.0000,Ativos,30
18063,14,30,15,47.0000,Ativos,30
18062,13,30,10,47.0000,Ativos,30
18061,5,30,30,47.0000,Ativos,30
18060,13,30,10,47.0000,Ativos,30
18059,12,30,10,47.0000,Ativos,30
18058,12,30,10,47.0000,Ativos,30
18057,11,30,15,47.0000,Ativos,30
18056,10,30,10,47.0000,Ativos,30
18055,14,30,15,47.0000,Ativos,30
18054,15,30,15,47.0000,Ativos,30
18053,12,30,30,47.0000,Ativos,30
18052,16,30,15,47.0000,Ativos,30
18003,11,30,30,47.0000,Ativos,30
18050,10,30,15,47.0000,Ativos,30
18049,10,30,10,47.0000,Ativos,30
18048,14,30,30,47.0000,Ativos,30
18047,12,30,30,47.0000,Ativos,30
18294,11,30,10,47.0000,Ativos,30
18046,14,30,30,47.0000,Ativos,30
18045,13,30,10,47.0000,Ativos,30
18044,10,30,10,47.0000,Ativos,30
18043,11,30,15,47.0000,Ativos,30
16940,12,30,15,47.0000,Ativos,30
18041,9,30,10,47.0000,Ativos,30
18040,8,30,10,47.0000,Ativos,30
18039,10,30,10,47.0000,Ativos,30
18038,9,30,10,47.0000,Ativos,30
18037,8,30,10,47.0000,Ativos,30
18036,9,30,10,47.0000,Ativos,30
18035,9,30,10,47.0000,Ativos,30
18034,48,472,10,47.0000,Deferidos,472
18033,5,30,30,47.0000,Ativos,30
18032,9,30,10,47.0000,Suspensos,30
18031,19,30,15,47.0000,Suspensos,30
18030,16,30,10,47.0000,Suspensos,30
18029,15,30,10,47.0000,Suspensos,30
18028,15,30,10,47.0000,Suspensos,30
18027,15,30,10,47.0000,Suspensos,30
18026,15,30,10,47.0000,Suspensos,30
18025,15,30,15,47.0000,Ativos,30
18024,15,30,10,47.0000,Suspensos,30
18023,14,30,15,47.0000,Ativos,30
18022,26,30,30,47.0000,Fluxo de Ressarcimento,30
18021,40,30,30,47.0000,Concluídos,30
18196,19,30,10,47.0000,Ativos,30
18019,15,30,10,47.0000,Suspensos,30
18018,11,30,10,47.0000,Suspensos,30
18017,15,30,10,47.0000,Suspensos,30
18016,53,217,30,47.0000,Faturamento,217
18015,9,30,10,47.0000,Suspensos,30
18014,10,30,10,47.0000,Suspensos,30
16624,16,442,15,47.0000,Deferidos,442
18012,14,30,15,47.0000,Ativos,30
18011,15,30,10,47.0000,Suspensos,30
18010,14,30,15,47.0000,Ativos,30
18009,8,30,15,47.0000,Ativos,30
18008,8,30,15,47.0000,Ativos,30
16736,18,452,10,47.0000,Deferidos,452
18006,13,30,15,47.0000,Ativos,30
18005,13,30,15,47.0000,Ativos,30
18004,14,30,15,47.0000,Ativos,30
16901,19,450,10,47.0000,Deferidos,450
18002,8,30,15,47.0000,Ativos,30
18001,16,30,10,47.0000,Suspensos,30
18000,13,30,10,47.0000,Ativos,30
17999,8,30,10,47.0000,Suspensos,30
17998,12,30,10,47.0000,Suspensos,30
17997,41,30,30,47.0000,Concluídos,30
17996,8,30,10,47.0000,Suspensos,30
17995,16,30,10,47.0000,Suspensos,30
17994,8,30,10,47.0000,Suspensos,30
17993,16,30,10,47.0000,Suspensos,30
17992,16,30,10,47.0000,Suspensos,30
17991,26,30,30,47.0000,Fluxo de Ressarcimento,30
17990,11,30,10,47.0000,Suspensos,30
17989,16,30,10,47.0000,Suspensos,30
17988,16,30,10,47.0000,Suspensos,30
17987,16,30,10,47.0000,Suspensos,30
17986,27,205,30,47.0000,Fluxo de Ressarcimento,205
17985,7,30,10,47.0000,Suspensos,30
17984,8,30,10,47.0000,Suspensos,30
17983,16,30,10,47.0000,Suspensos,30
17982,16,30,10,47.0000,Suspensos,30
17981,16,30,10,47.0000,Suspensos,30
18227,17,453,10,47.0000,Deferidos,453
17979,16,30,10,47.0000,Suspensos,30
17978,26,30,15,47.0000,Deferidos,30
17977,17,30,10,47.0000,Suspensos,30
17976,8,30,10,47.0000,Suspensos,30
17975,34,30,30,47.0000,Fluxo de Ressarcimento,30
17974,14,30,10,47.0000,Suspensos,30
17973,8,30,10,47.0000,Suspensos,30
18177,29,170,15,47.0000,Deferidos,170
17971,30,30,15,47.0000,Suspensos,30
18167,64,30,30,47.0000,Fluxo de Ressarcimento,30
17969,6,30,10,47.0000,Suspensos,30
17968,19,30,15,47.0000,Suspensos,30
17967,28,30,15,47.0000,Suspensos,30
17966,6,30,10,47.0000,Suspensos,30
17965,26,165,10,47.0000,Deferidos,165
17964,13,30,10,47.0000,Suspensos,30
17963,37,30,30,47.0000,Fluxo de Ressarcimento,30
17962,12,30,10,47.0000,Suspensos,30
17961,12,30,10,47.0000,Suspensos,30
17960,8,30,30,47.0000,Concluídos,30
17959,12,30,10,47.0000,Suspensos,30
17958,8,30,10,47.0000,Suspensos,30
17957,9,30,15,47.0000,Suspensos,30
17956,13,30,10,47.0000,Suspensos,30
17955,5,30,10,47.0000,Suspensos,30
17954,15,30,10,47.0000,Suspensos,30
17953,13,30,10,47.0000,Suspensos,30
17952,11,30,10,47.0000,Suspensos,30
17951,16,30,10,47.0000,Suspensos,30
17950,15,30,10,47.0000,Suspensos,30
17949,16,30,10,47.0000,Suspensos,30
17948,12,30,10,47.0000,Suspensos,30
17947,16,30,10,47.0000,Suspensos,30
17946,28,30,10,47.0000,Ativos,30
17945,7,30,10,47.0000,Suspensos,30
17944,7,30,10,47.0000,Suspensos,30
17943,7,30,10,47.0000,Suspensos,30
17942,7,30,10,47.0000,Suspensos,30
17941,7,30,10,47.0000,Suspensos,30
17940,6,30,10,47.0000,Suspensos,30
17939,8,30,10,47.0000,Suspensos,30
17938,6,30,10,47.0000,Suspensos,30
17937,6,30,10,47.0000,Suspensos,30
17935,6,30,30,47.0000,Ativos,30
17936,9,30,30,47.0000,Ativos,30
17934,12,399,10,47.0000,Deferidos,399
17933,25,560,10,47.0000,Deferidos,560
17932,8,30,15,47.0000,Ativos,30
17931,19,598,15,47.0000,Deferidos,598
17930,13,30,30,47.0000,Ativos,30
17929,12,30,15,47.0000,Ativos,30
17928,29,273,30,47.0000,Fluxo de Ressarcimento,273
17927,12,30,15,47.0000,Ativos,30
17926,30,273,30,47.0000,Fluxo de Ressarcimento,273
17925,35,273,30,47.0000,Fluxo de Ressarcimento,273
17924,14,30,20,47.0000,Ativos,30
17923,28,274,30,47.0000,Fluxo de Ressarcimento,274
17922,14,30,20,47.0000,Ativos,30
17921,24,274,30,47.0000,Fluxo de Ressarcimento,274
17920,21,274,30,47.0000,Fluxo de Ressarcimento,274
17919,29,274,30,47.0000,Fluxo de Ressarcimento,274
17918,35,274,30,47.0000,Fluxo de Ressarcimento,274
17917,13,30,15,47.0000,Ativos,30
17916,36,274,30,47.0000,Fluxo de Ressarcimento,274
17915,14,30,20,47.0000,Ativos,30
17914,26,274,30,47.0000,Fluxo de Ressarcimento,274
17913,29,274,30,47.0000,Fluxo de Ressarcimento,274
17912,29,274,30,47.0000,Fluxo de Ressarcimento,274
17911,29,274,30,47.0000,Fluxo de Ressarcimento,274
17910,25,274,30,47.0000,Fluxo de Ressarcimento,274
17909,24,276,30,47.0000,Fluxo de Ressarcimento,276
17908,20,276,30,47.0000,Fluxo de Ressarcimento,276
17907,30,276,30,47.0000,Fluxo de Ressarcimento,276
17906,31,276,30,47.0000,Fluxo de Ressarcimento,276
17905,13,30,10,47.0000,Ativos,30
17904,22,276,30,47.0000,Fluxo de Ressarcimento,276
17903,31,276,30,47.0000,Fluxo de Ressarcimento,276
17902,27,276,30,47.0000,Fluxo de Ressarcimento,276
17901,22,277,30,47.0000,Fluxo de Ressarcimento,277
17900,32,277,30,47.0000,Fluxo de Ressarcimento,277
17899,36,277,30,47.0000,Fluxo de Ressarcimento,277
17898,22,277,30,47.0000,Fluxo de Ressarcimento,277
17897,14,30,15,47.0000,Ativos,30
17896,33,277,30,47.0000,Fluxo de Ressarcimento,277
17895,23,277,30,47.0000,Fluxo de Ressarcimento,277
17894,49,277,30,47.0000,Fluxo de Ressarcimento,277
17893,27,277,30,47.0000,Fluxo de Ressarcimento,277
17892,27,277,30,47.0000,Fluxo de Ressarcimento,277
17891,13,30,20,47.0000,Ativos,30
17890,23,277,30,47.0000,Fluxo de Ressarcimento,277
17889,23,277,30,47.0000,Fluxo de Ressarcimento,277
17888,15,30,15,47.0000,Ativos,30
17887,27,277,30,47.0000,Fluxo de Ressarcimento,277
17886,22,277,30,47.0000,Fluxo de Ressarcimento,277
17885,27,277,30,47.0000,Fluxo de Ressarcimento,277
17884,23,277,30,47.0000,Fluxo de Ressarcimento,277
17883,14,30,10,47.0000,Ativos,30
17882,26,277,30,47.0000,Fluxo de Ressarcimento,277
17881,23,277,30,47.0000,Fluxo de Ressarcimento,277
17880,16,30,20,47.0000,Ativos,30
17879,22,277,30,47.0000,Fluxo de Ressarcimento,277
17878,32,277,30,47.0000,Fluxo de Ressarcimento,277
17877,33,277,30,47.0000,Fluxo de Ressarcimento,277
17876,33,277,30,47.0000,Fluxo de Ressarcimento,277
17875,28,277,30,47.0000,Fluxo de Ressarcimento,277
17874,22,277,30,47.0000,Fluxo de Ressarcimento,277
17873,35,277,30,47.0000,Fluxo de Ressarcimento,277
17872,22,277,30,47.0000,Fluxo de Ressarcimento,277
17871,15,30,10,47.0000,Ativos,30
17870,15,30,10,47.0000,Ativos,30
17869,15,30,10,47.0000,Ativos,30
17868,15,30,10,47.0000,Ativos,30
17867,15,30,10,47.0000,Ativos,30
17866,15,30,10,47.0000,Ativos,30
17865,15,30,10,47.0000,Ativos,30
17864,15,30,10,47.0000,Ativos,30
17863,15,30,10,47.0000,Ativos,30
17862,6,30,30,47.0000,Concluídos,30
17861,15,30,10,47.0000,Ativos,30
17860,15,30,10,47.0000,Ativos,30
17859,15,30,10,47.0000,Ativos,30
17858,15,30,10,47.0000,Ativos,30
17857,15,30,10,47.0000,Ativos,30
17856,15,30,10,47.0000,Ativos,30
17855,15,30,10,47.0000,Ativos,30
17854,15,30,10,47.0000,Ativos,30
17853,15,30,10,47.0000,Ativos,30
17852,15,30,10,47.0000,Ativos,30
17851,15,30,10,47.0000,Ativos,30
17850,15,30,10,47.0000,Ativos,30
17849,15,30,10,47.0000,Ativos,30
17848,15,30,10,47.0000,Ativos,30
17847,15,30,10,47.0000,Ativos,30
17846,15,30,10,47.0000,Ativos,30
17845,15,30,10,47.0000,Ativos,30
17844,15,30,10,47.0000,Ativos,30
17843,15,30,10,47.0000,Ativos,30
17842,15,30,10,47.0000,Ativos,30
17841,15,30,10,47.0000,Ativos,30
17840,15,30,10,47.0000,Ativos,30
17839,15,30,10,47.0000,Ativos,30
17838,15,30,10,47.0000,Ativos,30
17837,15,30,10,47.0000,Ativos,30
17836,15,30,10,47.0000,Ativos,30
17835,15,30,10,47.0000,Ativos,30
17834,15,30,10,47.0000,Ativos,30
17833,15,30,10,47.0000,Ativos,30
17832,15,30,10,47.0000,Ativos,30
17831,15,30,10,47.0000,Ativos,30
17830,15,30,10,47.0000,Ativos,30
17829,15,30,10,47.0000,Ativos,30
17828,16,30,10,47.0000,Ativos,30
17827,14,30,10,47.0000,Ativos,30
17826,13,30,10,47.0000,Suspensos,30
17825,5,30,30,47.0000,Ativos,30
17824,10,30,15,47.0000,Ativos,30
17823,35,71,30,47.0000,Concluídos,71
17822,11,30,15,47.0000,Ativos,30
17817,15,30,10,47.0000,Ativos,30
17818,13,30,10,47.0000,Ativos,30
17819,13,30,10,47.0000,Ativos,30
17820,12,30,10,47.0000,Ativos,30
17821,6,30,30,47.0000,Ativos,30
17816,15,30,10,47.0000,Suspensos,30
17815,13,30,15,47.0000,Ativos,30
17814,16,674,10,47.0000,Deferidos,674
17813,5,30,30,47.0000,Ativos,30
17812,13,30,20,47.0000,Ativos,30
17811,9,30,30,47.0000,Ativos,30
17810,15,30,10,47.0000,Deferidos,30
17809,10,30,30,47.0000,Ativos,30
17808,12,30,20,47.0000,Ativos,30
17807,11,30,20,47.0000,Ativos,30
17806,12,30,20,47.0000,Ativos,30
17805,11,30,20,47.0000,Ativos,30
17804,12,30,20,47.0000,Ativos,30
17803,12,30,20,47.0000,Ativos,30
17802,12,30,20,47.0000,Ativos,30
17801,12,30,20,47.0000,Ativos,30
17800,13,30,20,47.0000,Ativos,30
17799,12,30,20,47.0000,Ativos,30
17798,12,30,20,47.0000,Ativos,30
17797,12,30,20,47.0000,Ativos,30
17796,12,30,20,47.0000,Ativos,30
17795,14,30,20,47.0000,Ativos,30
17794,13,30,20,47.0000,Ativos,30
17793,19,525,15,47.0000,Deferidos,525
17792,9,30,15,47.0000,Ativos,30
17791,9,30,15,47.0000,Ativos,30
17790,9,30,15,47.0000,Ativos,30
17789,9,30,15,47.0000,Ativos,30
17788,10,30,15,47.0000,Ativos,30
17787,10,30,15,47.0000,Ativos,30
17786,10,30,15,47.0000,Ativos,30
17785,10,30,15,47.0000,Ativos,30
17784,10,30,15,47.0000,Ativos,30
17783,10,30,15,47.0000,Ativos,30
17782,8,30,15,47.0000,Ativos,30
17781,9,30,15,47.0000,Ativos,30
17780,9,30,15,47.0000,Ativos,30
17779,9,30,15,47.0000,Ativos,30
17778,9,30,15,47.0000,Ativos,30
17777,10,30,15,47.0000,Ativos,30
17776,10,30,15,47.0000,Ativos,30
17775,10,30,15,47.0000,Ativos,30
17774,12,30,20,47.0000,Ativos,30
17773,12,30,20,47.0000,Ativos,30
17772,12,30,20,47.0000,Ativos,30
17771,12,30,20,47.0000,Ativos,30
17770,8,30,15,47.0000,Ativos,30
17769,10,30,15,47.0000,Ativos,30
17768,8,30,15,47.0000,Ativos,30
17767,9,30,20,47.0000,Ativos,30
17766,10,30,15,47.0000,Ativos,30
17765,10,30,15,47.0000,Ativos,30
17764,14,657,15,47.0000,Deferidos,657
17763,10,30,15,47.0000,Ativos,30
17762,10,30,15,47.0000,Ativos,30
17761,11,30,20,47.0000,Ativos,30
17760,10,30,15,47.0000,Ativos,30
17759,11,30,20,47.0000,Ativos,30
17758,10,30,20,47.0000,Ativos,30
17757,10,30,20,47.0000,Ativos,30
17756,10,30,15,47.0000,Ativos,30
17755,20,661,15,47.0000,Deferidos,661
17754,9,30,20,47.0000,Ativos,30
17753,10,30,20,47.0000,Ativos,30
17752,13,30,20,47.0000,Ativos,30
17751,10,30,30,47.0000,Ativos,30
17750,9,418,10,47.0000,Deferidos,418
17749,12,454,10,47.0000,Deferidos,454
17748,9,418,10,47.0000,Deferidos,418
17747,10,418,20,47.0000,Deferidos,418
17746,9,418,10,47.0000,Deferidos,418
17745,10,440,20,47.0000,Deferidos,440
17744,10,392,20,47.0000,Deferidos,392
17743,10,404,20,47.0000,Deferidos,404
17742,15,402,20,47.0000,Deferidos,402
17741,12,412,20,47.0000,Deferidos,412
17740,12,472,10,47.0000,Deferidos,472
17739,12,402,10,47.0000,Deferidos,402
17738,12,30,30,47.0000,Ativos,30
17737,14,440,15,47.0000,Deferidos,440
17736,11,406,10,47.0000,Deferidos,406
17735,10,30,20,47.0000,Ativos,30
17734,10,30,20,47.0000,Ativos,30
17733,11,445,15,47.0000,Deferidos,445
17732,12,609,10,47.0000,Deferidos,609
17731,10,30,15,47.0000,Ativos,30
17730,10,30,20,47.0000,Ativos,30
17729,10,30,20,47.0000,Ativos,30
17728,14,363,20,47.0000,Deferidos,363
17727,9,412,10,47.0000,Deferidos,412
17726,11,30,20,47.0000,Ativos,30
17725,9,417,20,47.0000,Deferidos,417
17724,8,30,10,47.0000,Suspensos,30
17723,12,30,10,47.0000,Suspensos,30
17722,12,30,10,47.0000,Suspensos,30
17721,8,30,10,47.0000,Suspensos,30
17720,8,30,10,47.0000,Suspensos,30
17719,9,30,10,47.0000,Suspensos,30
17718,12,30,10,47.0000,Suspensos,30
17717,29,266,10,47.0000,Deferidos,266
17716,9,30,10,47.0000,Suspensos,30
17715,5,30,30,47.0000,Ativos,30
17714,5,30,30,47.0000,Ativos,30
17713,11,30,10,47.0000,Suspensos,30
17712,5,30,30,47.0000,Ativos,30
17711,8,30,30,47.0000,Ativos,30
17710,10,30,20,47.0000,Ativos,30
17709,17,638,30,47.0000,Fluxo de Ressarcimento,638
17708,11,30,10,47.0000,Ativos,30
17707,18,608,10,47.0000,Deferidos,608
17706,25,614,30,47.0000,Fluxo de Ressarcimento,614
17705,22,648,15,47.0000,Deferidos,648
17704,13,30,20,47.0000,Ativos,30
17703,22,634,30,47.0000,Fluxo de Ressarcimento,634
17702,21,259,15,47.0000,Deferidos,259
17701,21,636,20,47.0000,Fluxo de Ressarcimento,636
17700,9,30,20,47.0000,Ativos,30
17699,45,280,30,47.0000,Fluxo de Ressarcimento,280
17698,16,614,15,47.0000,Deferidos,614
17697,10,30,30,47.0000,Ativos,30
17696,12,30,20,47.0000,Ativos,30
17695,13,30,20,47.0000,Ativos,30
17694,8,30,30,47.0000,Ativos,30
17693,11,30,20,47.0000,Ativos,30
17692,8,30,20,47.0000,Ativos,30
17691,8,30,30,47.0000,Ativos,30
17690,19,30,15,47.0000,Deferidos,30
17689,23,649,30,47.0000,Fluxo de Ressarcimento,649
17688,9,30,30,47.0000,Ativos,30
17687,50,268,30,47.0000,Fluxo de Ressarcimento,268
17686,15,673,15,47.0000,Deferidos,673
17685,10,30,30,47.0000,Ativos,30
17684,10,30,30,47.0000,Ativos,30
17683,8,30,15,47.0000,Ativos,30
17682,9,30,30,47.0000,Ativos,30
17681,9,30,10,47.0000,Ativos,30
17680,28,280,30,47.0000,Faturamento,280
17679,13,30,30,47.0000,Ativos,30
17678,20,663,15,47.0000,Deferidos,663
17677,12,30,20,47.0000,Ativos,30
17676,27,425,30,47.0000,Fluxo de Ressarcimento,425
17675,20,665,15,47.0000,Deferidos,665
17674,16,642,10,47.0000,Deferidos,642
17673,32,642,30,47.0000,Fluxo de Ressarcimento,642
17672,11,30,30,47.0000,Ativos,30
17671,14,421,15,47.0000,Deferidos,421
